Incidentally 14-advmod
man 17-nmod
; 2-punct
and 27-cc
it 27-nsubj
was 27-cop
in 27-case
the 27-det
valley 2-conj
that 29-nsubj
lies 27-acl:relcl
by 32-case
Beth 32-compound
Rehob 29-obl
. 2-punct

Madam 2-compound
President 13-nsubj
, 13-punct
on 5-case
Monday 13-obl
evening 13-obl:tmod
, 13-punct
the 9-det
Committee 13-nsubj
on 12-case
Foreign 12-compound
Affairs 9-nmod
adopted 0-root
a 15-det
motion 13-obj
regarding 20-case
the 20-det
deteriorating 20-amod
humanitarian 20-amod
situation 15-nmod
in 23-case
Sri 23-compound
Lanka 20-nmod
, 23-punct
pursuant 23-advmod
to 27-case
Rule 25-obl
91 27-nummod
. 13-punct

So 3-advmod
they 3-nsubj
spread 0-root
Absalom 6-nsubj
a 6-det
tent 3-xcomp
on 9-case
the 9-det
top 6-nmod
of 12-case
the 12-det
house 9-nmod
; 3-punct
and 16-cc
Absalom 16-nsubj
went 3-conj
in 22-case
to 22-case
his 20-nmod:poss
father 22-nmod:poss
's 20-case
concubines 16-obl
in 25-case
the 25-det
sight 16-obl
of 28-case
all 28-dep
Israel 25-nmod
. 3-punct

My 2-nmod:poss
mouth 4-nsubj:pass
is 4-aux:pass
enlarged 0-root
over 7-case
my 7-nmod:poss
enemies 4-obl
, 4-punct
because 11-mark
I 11-nsubj
rejoice 4-advcl
in 14-case
your 14-nmod:poss
salvation 11-obl
. 4-punct

Aquaporin 12-nsubj
- 1-punct
2 1-nummod
( 1-punct
AQP2 1-dep
) 1-punct
is 12-cop
a 12-det
pore 11-obl
- 11-punct
forming 12-amod
protein 0-root
belonging 12-acl
to 16-case
a 16-det
family 13-obl
of 19-case
water 19-compound
channels 16-nmod
[ 21-punct
4 12-dep
] 21-punct
, 12-punct
and 27-cc
it 27-nsubj:pass
is 27-aux:pass
expressed 12-conj
in 33-case
collecting 31-amod
- 31-punct
duct 33-compound
principal 33-compound
cells 27-obl
in 36-case
the 36-det
kidney 27-obl
[ 38-punct
5 27-dep
] 38-punct
. 12-punct

It 2-nsubj
happened 0-root
, 2-punct
when 7-advmod
he 7-nsubj
had 7-aux
come 2-advcl
, 2-punct
that 11-mark
he 11-nsubj
blew 2-ccomp
a 13-det
trumpet 11-obj
in 17-case
the 17-det
hill 17-compound
country 11-obl
of 19-case
Ephraim 17-nmod
; 2-punct
and 26-cc
the 23-det
children 26-nsubj
of 25-case
Israel 23-nmod
went 2-conj
down 26-compound:prt
with 29-case
him 26-obl
from 33-case
the 33-det
hill 33-compound
country 26-obl
, 2-punct
and 36-cc
he 2-conj
before 38-case
them 36-dep
. 2-punct

Mr 2-compound
President 5-nsubj
, 5-punct
I 5-nsubj
rise 0-root
in 7-case
respect 5-obl
of 11-case
the 11-det
Martens 11-compound
report 7-nmod
, 5-punct
because 24-mark
its 15-nmod:poss
title 24-nsubj
, 15-punct
' 19-punct
One 19-nummod
year 15-appos
after 21-case
Lisbon 19-nmod
' 19-punct
, 15-punct
gives 5-advcl
me 24-iobj
the 27-det
opportunity 24-obj
to 29-mark
reflect 27-acl
on 36-mark
where 36-advmod
we 36-nsubj
are 36-cop
, 36-punct
one 36-nummod
year 29-advcl
after 36-case
Lisbon 36-dep
, 36-punct
in 43-case
the 43-det
European 43-compound
Union 36-obl
. 5-punct

Malaysia 4-nsubj
has 4-aux
long 4-advmod
espoused 0-root
democratic 6-amod
principles 4-obj
. 4-punct

The 2-det
localization 6-nsubj:pass
of 4-case
RAD51 2-nmod
was 6-aux:pass
examined 0-root
in 11-case
CAPAN 11-compound
- 8-punct
1 8-nummod
cells 6-obl
, 11-punct
the 17-det
same 17-amod
human 16-amod
tumor 17-compound
line 11-appos
examined 17-acl
by 20-case
Moynahan 18-obl
et 22-compound
al 20-advmod
[ 24-punct
24 6-dep
] 24-punct
. 6-punct

The 3-det
next 3-amod
item 7-nsubj
is 7-cop
the 7-det
joint 7-amod
debate 0-root
on 11-case
the 11-det
Western 11-amod
Balkans 7-nmod
, 7-punct
and 16-cc
specifically 16-advmod
the 16-det
report 7-conj
by 19-case
Mrs 19-compound
Ibrisagic 16-nmod
, 19-punct
on 22-case
behalf 19-obl
of 25-case
the 25-det
Committee 22-nmod
on 28-case
Foreign 28-compound
Affairs 25-nmod
, 19-punct
on 31-mark
consolidating 19-obl
stability 31-obj
and 34-cc
prosperity 32-conj
in 38-case
the 38-det
Western 38-amod
Balkans 32-nmod
and 41-cc
the 41-det
statements 32-conj
by 44-case
the 44-det
Council 41-nmod
and 47-cc
the 47-det
Commission 44-conj
on 50-case
the 50-det
situation 31-obl
in 52-case
Bosnia 50-nmod
and 54-cc
Herzegovina 52-conj
. 7-punct

	 punct-25:punct
' 25-punct
If 17-mark
his 5-nmod:poss
offering 17-nsubj
for 8-case
a 8-det
sacrifice 5-nmod
of 11-case
peace 11-compound
offerings 8-nmod
to 13-case
Yahweh 11-nmod
is 17-cop
from 17-case
the 17-det
flock 25-advcl
; 17-punct
male 17-amod
or 21-cc
female 19-conj
, 25-punct
he 25-nsubj
shall 25-aux
offer 0-root
it 25-obj
without 28-case
blemish 25-obl
. 25-punct

Debates 25-csubj
on 3-case
cases 1-nmod
of 5-case
breaches 3-nmod
of 8-case
human 8-amod
rights 5-nmod
, 8-punct
democracy 8-conj
and 13-cc
the 13-det
rule 8-conj
of 15-case
law 13-nmod
( 3-punct
announcement 3-dep
of 19-case
motions 17-nmod
for 21-case
resolutions 19-nmod
tabled 21-acl
) 3-punct
: 25-punct
see 0-root
Minutes 25-obj

For 9-mark
the 3-det
iniquity 9-nsubj
of 6-case
his 6-nmod:poss
covetousness 3-nmod
was 9-cop
I 9-obl:npmod
angry 16-advcl
, 9-punct
and 12-cc
struck 9-conj
him 12-obj
; 16-punct
I 16-nsubj
hid 0-root
myself 16-obj
and 20-cc
was 20-cop
angry 16-conj
; 16-punct
and 24-cc
he 24-nsubj
went 16-conj
on 26-case
backsliding 24-obl
in 29-case
the 29-det
way 24-obl
of 32-case
his 32-nmod:poss
heart 29-nmod
. 16-punct

In 2-case
vertebrates 10-obl
, 10-punct
a 5-det
number 10-nsubj:pass
of 7-case
receptors 5-nmod
have 10-aux
been 10-aux:pass
identified 0-root
that 13-nsubj
can 13-aux
mediate 10-ccomp
phagocytosis 13-obj
of 17-case
apoptotic 17-amod
cells 14-nmod
. 10-punct

The 2-det
activity 13-nsubj
of 4-case
BCKDH 2-nmod
in 6-case
livers 4-nmod
of 11-case
homozygous 11-amod
knockout 10-compound
mouse 11-compound
pups 6-nmod
was 13-cop
undetectable 0-root
, 13-punct
accounting 13-xcomp
for 18-case
the 18-det
accumulation 15-obl
of 21-case
unmetabolized 21-amod
BCAA 18-nmod
. 13-punct

He 2-nsubj
threw 0-root
on 4-case
them 2-obl
the 6-det
fierceness 2-obj
of 9-case
his 9-nmod:poss
anger 6-nmod
, 9-punct
wrath 9-conj
, 9-punct
indignation 9-conj
, 9-punct
and 16-cc
trouble 9-conj
, 6-punct
and 20-cc
a 20-det
band 6-conj
of 22-case
angels 20-nmod
of 24-case
evil 22-nmod
. 2-punct

For 2-case
I 4-obl
am 4-cop
Yahweh 0-root
your 6-nmod:poss
God 4-nsubj
, 6-punct
the 9-det
Holy 6-appos
One 9-nummod
of 12-case
Israel 9-nmod
, 12-punct
your 15-nmod:poss
Savior 12-appos
. 4-punct

The 2-det
people 3-nsubj
rose 0-root
up 5-advmod
all 3-advmod
that 7-det
day 3-obj
, 7-punct
and 12-cc
all 12-det:predet
the 12-det
night 7-conj
, 7-punct
and 18-cc
all 18-det:predet
the 18-det
next 18-amod
day 7-conj
, 7-punct
and 21-cc
gathered 3-conj
the 23-det
quails 21-obj
. 3-punct

They 8-nsubj
with 7-mark
whom 7-obj
precious 5-amod
stones 7-nsubj:pass
were 7-aux:pass
found 1-acl
gave 0-root
them 8-obj
to 12-case
the 12-det
treasure 8-obl
of 15-case
the 15-det
house 12-nmod
of 17-case
Yahweh 15-nmod
, 8-punct
under 21-case
the 21-det
hand 8-obl
of 25-case
Jehiel 25-compound
the 25-det
Gershonite 21-nmod
. 8-punct

The 3-det
other 3-amod
women 6-nsubj
with 5-case
them 3-nmod
told 0-root
these 8-det
things 6-obj
to 11-case
the 11-det
apostles 6-obl
. 6-punct

They 4-nsubj
shall 4-aux
also 4-advmod
bring 0-root
up 4-compound:prt
a 7-det
company 4-obj
against 9-case
you 7-nmod
, 4-punct
and 14-cc
they 14-nsubj
shall 14-aux
stone 4-conj
you 14-obj
with 17-case
stones 14-obl
, 14-punct
and 20-cc
thrust 14-conj
you 20-obj
through 25-case
with 25-case
their 25-nmod:poss
swords 20-obl
. 4-punct

This 2-det
tragedy 3-nsubj
takes 0-root
place 3-obj
only 7-advmod
six 7-nummod
months 3-obl
after 7-case
a 13-det
similar 13-amod
terrible 13-amod
gun 13-compound
rampage 7-dep
at 16-case
a 16-det
school 13-nmod
in 18-case
Kauhajoki 16-nmod
in 20-case
Finland 18-nmod
. 3-punct

They 3-nsubj
will 3-aux
drive 0-root
out 3-compound:prt
Ashdod 3-obj
at 7-case
noonday 5-nmod
, 3-punct
and 13-cc
Ekron 13-nsubj:pass
will 13-aux
be 13-aux:pass
rooted 3-conj
up 13-compound:prt
. 3-punct

BRCA2 4-nsubj
may 4-aux
thus 4-advmod
promote 0-root
RAD51 6-compound
assembly 4-obj
into 10-case
recombinational 10-amod
repair 10-compound
complexes 4-obl
via 15-case
a 15-det
negative 15-amod
regulatory 15-amod
mechanism 10-nmod
( 15-punct
i.e. 15-advmod
by 19-mark
blocking 4-advcl
RAD51 22-compound
– 22-punct
BRCA2 23-compound
interaction 19-obj
until 27-mark
damage 27-nsubj
has 27-aux
occurred 19-advcl
and 43-cc
factors 43-nsubj
required 29-acl
for 35-case
' 35-punct
productive 35-amod
' 35-punct
assembly 30-obl
of 37-case
RAD51 35-nmod
at 40-case
damaged 40-amod
sites 30-obl
are 43-cop
in 43-case
place 4-conj
) 4-punct
. 4-punct

We 6-nsubj
are 6-cop
now 6-advmod
in 6-case
the 6-det
time 0-root
of 10-case
the 10-det
Silent 10-compound
Sea 6-nmod
. 6-punct

EC 3-compound
/ 3-punct
Georgia 0-root
, 3-punct
Lebanon 3-appos
, 5-punct
Maldives 5-conj
, 5-punct
Moldova 5-conj
, 5-punct
Singapore 5-conj
and 13-cc
Uruguay 5-conj
Agreements 3-dep
: 14-punct
Protocols 17-nsubj
amending 14-appos
the 19-det
Agreements 17-obj
on 22-case
certain 22-amod
aspects 17-obl
of 25-case
air 25-compound
services 22-nmod
following 28-case
the 28-det
accession 25-nmod
of 30-case
Bulgaria 28-nmod
and 32-cc
Romania 30-conj
( 34-punct
vote 30-appos
) 34-punct

These 2-det
deficits 9-nsubj
are 9-cop
likely 9-advmod
due 9-case
to 5-fixed
impaired 9-amod
muscle 9-compound
strength 0-root
in 18-case
the 18-det
PGC 14-compound
- 14-punct
1α 18-compound
− 14-dep
/ 14-punct
− 14-dep
mice 9-nmod
, 9-punct
but 35-cc
contributions 35-nsubj
by 23-case
peripheral 21-nmod
or 28-cc
central 28-amod
nervous 28-amod
system 28-compound
determinants 23-conj
( 28-punct
or 31-cc
both 28-conj
) 28-punct
could 35-aux
be 35-cop
contributory 9-conj
. 9-punct

The 2-det
Chaldeans 3-nsubj
answered 12-ccomp
before 6-case
the 6-det
king 3-obl
, 3-punct
and 9-cc
said 3-conj
, 12-punct
There 12-expl
is 0-root
not 12-advmod
a 15-det
man 12-nsubj
on 18-case
the 18-det
earth 15-nmod
who 21-nsubj
can 21-aux
show 18-acl:relcl
the 23-det
king 25-nmod:poss
's 23-case
matter 21-obj
, 12-punct
because 37-mark
no 29-det
king 37-nsubj
, 29-punct
lord 29-appos
, 31-punct
or 34-cc
ruler 31-conj
, 29-punct
has 37-aux
asked 12-advcl
such 40-det:predet
a 40-det
thing 37-obj
of 43-case
any 43-det
magician 40-nmod
, 43-punct
or 46-cc
enchanter 43-conj
, 43-punct
or 49-cc
Chaldean 43-conj
. 12-punct

The 2-det
kings 18-nsubj
of 5-case
the 5-det
earth 2-nmod
, 2-punct
who 8-nsubj
committed 2-acl:relcl
sexual 10-amod
immorality 8-obj
and 12-cc
lived 8-conj
wantonly 12-advmod
with 15-case
her 12-obl
, 2-punct
will 18-aux
weep 0-root
and 20-cc
wail 18-conj
over 22-case
her 18-obl
, 22-punct
when 26-advmod
they 26-nsubj
look 22-acl:relcl
at 29-case
the 29-det
smoke 26-obl
of 32-case
her 32-nmod:poss
burning 29-nmod
, 22-punct

Then 3-advmod
they 3-nsubj
tore 0-root
their 5-nmod:poss
clothes 3-obj
, 3-punct
and 10-cc
each 9-det
man 10-nsubj
loaded 3-conj
his 12-nmod:poss
donkey 10-obj
, 10-punct
and 15-cc
returned 10-conj
to 18-case
the 18-det
city 15-obl
. 3-punct

Therefore 8-advmod
, 8-punct
a 5-det
great 5-amod
deal 8-nsubj
of 7-case
work 5-nmod
lies 0-root
ahead 8-advmod
. 8-punct

We 4-nsubj
are 4-aux
currently 4-advmod
working 0-root
to 6-mark
determine 4-xcomp
whether 9-mark
hyperactivity 9-nsubj
correlates 6-ccomp
with 11-case
expression 9-obl
of 17-case
the 17-det
APPswe 16-compound
/ 16-punct
ind 17-compound
holoprotein 11-nmod
or 21-cc
its 21-nmod:poss
proteolytic 21-amod
derivatives 17-conj
. 4-punct

Madam 2-compound
President 15-nsubj
, 2-punct
the 6-det
budget 6-compound
procedure 2-appos
for 8-case
2011 6-nmod
is 15-cop
a 15-det
highly 12-advmod
specific 15-amod
and 14-cc
exceptional 12-conj
one 0-root
because 18-mark
it 18-nsubj
concerns 15-advcl
the 22-det
first 22-amod
budgetary 22-amod
year 18-obj
which 25-nsubj
will 25-aux
begin 22-acl:relcl
and 28-cc
be 28-aux:pass
approved 25-conj
in 30-case
accordance 28-obl
with 33-case
the 33-det
provisions 28-obl
of 36-case
the 36-det
Treaty 33-nmod
of 38-case
Lisbon 36-nmod
. 15-punct

One 5-nsubj
who 3-nsubj
brings 1-acl:relcl
gossip 3-obj
betrays 0-root
a 7-det
confidence 5-obj
, 5-punct
but 18-cc
one 18-nsubj
who 16-nsubj
is 16-cop
of 16-case
a 16-det
trustworthy 16-amod
spirit 10-acl:relcl
is 18-cop
one 5-conj
who 20-nsubj
keeps 18-acl:relcl
a 22-det
secret 20-obj
. 5-punct

( 2-punct
FR 0-root
) 2-punct
Ladies 2-dep
and 6-cc
gentlemen 4-conj
, 4-punct
a 10-det
European 10-amod
final 4-appos
, 4-punct
who 15-nsubj
would 15-aux
have 15-aux
believed 4-acl:relcl
it 15-obj
only 19-advmod
a 19-advmod
few 20-nummod
weeks 15-obl
ago 20-case
? 2-punct

There 2-expl
were 0-root
seven 4-nummod
lamps 2-nsubj
of 6-case
fire 4-nmod
burning 6-acl
before 10-case
his 10-nmod:poss
throne 7-obl
, 10-punct
which 16-nsubj
are 16-cop
the 16-det
seven 16-nummod
Spirits 10-acl:relcl
of 18-case
God 16-nmod
. 2-punct

In 3-case
one 3-nummod
study 19-obl
using 3-acl
CF 6-compound
mice 4-obj
on 10-case
different 10-amod
genetic 10-amod
backgrounds 4-obl
, 19-punct
a 13-det
region 19-nsubj:pass
on 16-case
mouse 16-compound
chromosome 13-nmod
7 16-nummod
was 19-aux:pass
shown 0-root
to 21-mark
ameliorate 19-xcomp
intestinal 23-amod
blockage 21-obj
and 29-cc
the 26-det
effect 29-nsubj
was 29-cop
in 29-case
part 19-conj
due 38-case
to 30-fixed
a 38-det
calcium 35-obl
- 35-punct
regulated 38-amod
Cl 38-compound
- 38-dep
channel 29-obl
which 40-nsubj
compensated 38-acl:relcl
for 42-case
loss 40-obl
of 45-case
CFTR 45-compound
function 42-nmod
[ 47-punct
16,17 19-dep
] 47-punct
. 19-punct

In 3-case
the 3-det
development 16-obl
of 7-case
the 7-det
mammalian 7-amod
retina 3-nmod
, 16-punct
a 11-det
diverse 11-amod
range 16-nsubj:pass
of 14-case
cell 14-compound
types 11-nmod
is 16-aux:pass
generated 0-root
from 19-case
a 19-det
pool 16-obl
of 24-case
multipotent 24-amod
retinal 24-amod
progenitor 24-compound
cells 19-nmod
. 16-punct

They 2-nsubj
went 0-root
up 2-compound:prt
out 6-case
of 6-case
Egypt 2-obl
, 2-punct
and 9-cc
came 2-conj
into 12-case
the 12-det
land 9-obl
of 14-case
Canaan 12-nmod
, 9-punct
to 17-case
Jacob 9-obl
their 19-nmod:poss
father 17-dep
. 2-punct

and 28-cc
over 5-case
the 5-det
olive 5-compound
trees 28-obl
and 8-cc
the 8-det
sycamore 5-conj
trees 28-nsubj
that 14-nsubj
were 14-cop
in 14-case
the 14-det
lowland 9-acl:relcl
was 17-cop
Baal 17-compound
Hanan 14-acl:relcl
the 19-det
Gederite 17-dep
: 14-punct
and 24-cc
over 24-case
the 24-det
cellars 14-conj
of 26-case
oil 24-nmod
was 28-cop
Joash 0-root
: 28-punct

	 punct-20:punct
Whereas 6-mark
you 6-nsubj:pass
have 6-aux
been 6-aux:pass
forsaken 20-advcl
and 8-cc
hated 6-conj
, 6-punct
so 14-mark
that 10-fixed
no 13-det
man 14-nsubj
passed 6-advcl
through 16-case
you 14-obl
, 20-punct
I 20-nsubj
will 20-aux
make 0-root
you 24-nsubj
an 24-det
eternal 24-amod
excellency 20-xcomp
, 24-punct
a 27-det
joy 24-appos
of 30-case
many 30-amod
generations 27-nmod
. 20-punct

Homozygous 8-amod
Cln3Δex7 8-compound
/ 2-punct
8 2-nummod
knock 8-amod
- 5-punct
in 5-compound:prt
mice 9-nsubj
exhibit 0-root
a 15-det
progressive 15-amod
JNCL 14-obl:npmod
- 14-punct
like 15-amod
disease 9-obj
, 9-punct
with 19-case
perinatal 19-amod
onset 9-obl
of 23-case
subunit 22-compound
c 23-compound
deposition 19-nmod
in 27-case
many 27-amod
cell 27-compound
types 23-nmod
and 30-cc
later 30-amod
onset 23-conj
of 33-case
neuronal 33-amod
dysfunction 30-nmod
and 36-cc
behavioral 36-amod
deficits 33-conj
[ 38-punct
12 9-dep
] 38-punct
. 9-punct

The 2-det
loss 15-nsubj
of 5-case
Sertoli 5-compound
cells 2-nmod
in 12-case
XY 12-compound
Fgf9 12-compound
− 8-dep
/ 8-punct
− 8-dep
gonads 5-nmod
is 15-cop
not 15-advmod
due 0-root
to 18-case
cell 18-compound
death 15-obl
, 18-punct
but 21-cc
instead 24-cc
to 24-case
a 24-det
transition 18-conj
of 28-case
supporting 27-amod
cell 28-compound
fate 24-nmod
as 33-mark
SOX9 31-compound
expression 33-nsubj:pass
is 33-aux:pass
lost 15-advcl
. 15-punct

Annexin 2-compound
A7 12-nsubj:pass
, 2-punct
the 6-det
first 6-amod
annexin 2-appos
to 9-mark
be 9-aux:pass
described 6-acl
, 2-punct
was 12-aux:pass
isolated 0-root
as 15-case
the 15-det
agent 12-obl
that 17-nsubj
mediated 15-acl:relcl
aggregation 17-obj
of 21-case
chromaffin 21-compound
granules 18-nmod
and 23-cc
fusion 18-conj
of 25-case
membranes 23-nmod
and 27-cc
phospholipids 25-conj
in 30-case
the 30-det
presence 17-obl
of 34-case
Ca2 34-compound
- 34-punct
ions 30-nmod
[ 36-punct
3 12-dep
] 36-punct
. 12-punct

It 2-nsubj
imposes 0-root
standards 2-obj
on 5-case
beef 2-obl
in 7-case
Britain 5-nmod
and 9-cc
cheese 5-conj
in 11-case
France 9-nmod
and 15-cc
it 15-nsubj
must 15-aux
follow 2-conj
the 18-det
same 18-amod
example 15-obj
in 20-case
relation 18-nmod
to 24-case
its 24-nmod:poss
own 24-amod
conduct 15-obl
. 2-punct

The 3-det
Special 3-compound
Court 8-nsubj
for 6-case
Sierra 6-compound
Leone 3-nmod
is 8-aux
making 0-root
a 11-det
significant 11-amod
contribution 8-obj
to 14-case
the 14-det
cause 8-obl
of 16-case
peace 14-nmod
and 18-cc
justice 16-conj
in 23-case
the 23-det
Mano 22-compound
River 23-compound
region 8-obl
of 26-case
West 26-compound
Africa 23-nmod
. 8-punct

Both 6-det
directed 6-amod
and 4-cc
random 2-conj
mutagenesis 6-compound
approaches 21-nsubj
, 6-punct
including 10-case
the 10-det
technologies 6-nmod
of 12-case
transgenesis 10-nmod
and 15-cc
gene 15-compound
targeting 10-conj
in 18-case
ES 18-compound
cells 15-nmod
, 6-punct
have 21-aux
become 0-root
commonplace 21-xcomp
. 21-punct

The 3-det
Reform 3-compound
Treaty 32-nsubj
of 5-case
Lisbon 3-nmod
, 3-punct
born 3-acl
of 11-case
the 11-det
Constitutional 11-amod
Treaty 7-obl
which 14-nsubj:pass
was 14-aux:pass
drafted 11-acl:relcl
by 17-case
a 17-det
convention 14-obl
comprising 17-acl
Members 18-obj
of 22-case
national 22-amod
parliaments 19-nmod
and 28-cc
the 28-det
European 26-compound
Parliament 28-compound
, 28-punct
meeting 19-conj
in 30-case
public 28-nmod
, 3-punct
serves 0-root
to 34-mark
make 32-xcomp
the 37-det
European 37-compound
Union 39-nsubj
more 39-advmod
democratic 34-xcomp
, 39-punct
more 42-advmod
effective 39-conj
and 45-cc
more 45-advmod
transparent 39-conj
. 32-punct

my 3-nmod:poss
loving 3-amod
kindness 0-root
, 3-punct
my 6-nmod:poss
fortress 3-conj
, 3-punct
my 10-nmod:poss
high 10-amod
tower 3-conj
, 3-punct
my 13-nmod:poss
deliverer 3-conj
, 3-punct
my 16-nmod:poss
shield 3-conj
, 3-punct
and 19-cc
he 3-conj
in 21-case
whom 23-obl
I 23-nsubj
take 3-acl:relcl
refuge 23-obj
; 24-punct
who 27-nsubj
subdues 24-dep
my 29-nmod:poss
people 27-obj
under 31-case
me 27-obl
. 3-punct

The 2-det
people 7-nsubj
will 7-aux
be 7-cop
oppressed 7-amod
, 7-punct
everyone 0-root
by 9-case
another 7-nmod
, 7-punct
and 12-cc
everyone 7-conj
by 15-case
his 15-nmod:poss
neighbor 12-nmod
. 7-punct

We 4-nsubj
have 4-aux
also 4-advmod
found 0-root
that 15-mark
male 12-amod
PGC 9-compound
- 9-punct
1α 11-dep
- 11-punct
deficient 12-amod
mice 15-nsubj:pass
are 15-aux:pass
somewhat 15-advmod
protected 4-ccomp
against 20-case
diet 19-obl
- 19-punct
induced 20-amod
obesity 15-obl
( 23-punct
Figure 23-compound
S4 4-dep
) 23-punct
. 4-punct

Ahab 2-nsubj
said 0-root
to 4-case
Elijah 2-obl
, 2-punct
	 punct-2:punct
Have 2-ccomp
you 9-nsubj
found 7-ccomp
me 9-obj
, 9-punct
my 13-nmod:poss
enemy 9-dep
? 2-punct
	 punct-2:punct

First 9-advmod
, 9-punct
this 9-nsubj
is 9-cop
not 9-advmod
a 9-det
judicial 9-amod
civil 9-amod
matter 0-root
, 9-punct
as 58-case
some 58-det
ill 15-amod
- 15-punct
informed 58-amod
or 17-cc
ill 15-conj
- 17-punct
informing 25-csubj
Members 19-obj
of 23-case
this 23-det
House 20-nmod
might 25-aux
propose 17-ccomp
: 32-punct
it 32-nsubj
is 32-cop
clearly 32-advmod
a 32-det
political 32-amod
matter 25-xcomp
; 32-punct
it 37-nsubj
is 37-cop
a 37-det
continuation 32-parataxis
of 40-case
the 40-det
policy 37-nmod
of 44-case
successive 44-amod
Israeli 44-amod
Governments 40-nmod
to 46-mark
kick 37-dep
Palestinians 46-obj
out 46-advmod
of 51-case
their 51-nmod:poss
homes 48-obl
and 53-cc
lands 51-conj
and 56-cc
to 56-mark
absorb 46-conj
by 56-obl
force 9-obl
- 58-punct
or 62-cc
by 62-mark
using 58-conj
legalistic 64-amod
tricks 62-obj
- 64-punct
as 67-advmod
much 71-cc
of 67-dep
the 71-det
Occupied 71-compound
Territories 64-conj
as 73-case
possible 71-acl
into 76-case
the 76-det
state 62-obl
of 78-case
Israel 76-nmod
. 9-punct

When 3-advmod
we 3-nsubj
saw 73-advcl
that 11-mark
the 6-det
draft 11-nsubj
implementing 6-acl
regulation 7-obj
did 11-aux
not 11-advmod
include 3-ccomp
a 13-det
series 11-obj
of 15-case
tests 13-nmod
scientifically 11-advmod
validated 16-dep
by 20-case
the 20-det
ECVAM 17-obl
( 20-punct
European 23-compound
